"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies the status code and response when sends DELETE request with no Name and Sex","9063","Get 409 status code when try to delete user, Name and Sex are missed in request - API Test","","Wed Apr 30 17:16:58 UTC 2025","failed","Wed Apr 30 17:17:07 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingNameAndSex"
"Updates a user and verifies status code and response","9066","Update User's Name, age and zip code are missed in userNewValues - API Test","","Wed Apr 30 17:14:06 UTC 2025","failed","Wed Apr 30 17:14:15 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateName"
"","1","testGetToken()","","Wed Apr 30 17:15:46 UTC 2025","passed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DataTest","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetToken"
"Uploads a user and verifies status code and response","9088","Upload a user with no Age and Zip code - API Test","","Wed Apr 30 17:08:11 UTC 2025","failed","Wed Apr 30 17:08:20 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadUserWithoutAgeAndZipCode"
"Uploads a user and verifies status code and response","9076","Upload a user when several users were created previously - API Test","","Wed Apr 30 17:10:55 UTC 2025","passed","Wed Apr 30 17:11:04 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWhenTwoCreatedPreviously"
"Gets 409 status code and verifies initial user is not updated","9057","Try to update a user, when all values are null in userNewValues - API Test","","Wed Apr 30 17:18:38 UTC 2025","failed","Wed Apr 30 17:18:47 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenAllNewValuesAreNull"
"Gets 409 status code and verifies response","9081","Try to upload two users, when one is with no Name - API Test","","Wed Apr 30 17:10:09 UTC 2025","failed","Wed Apr 30 17:10:18 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadTwoUsersWhereOneWithoutName"
"Updates a user and verifies status code and response","9066","Update User's all values are the same - API Test","","Wed Apr 30 17:14:15 UTC 2025","failed","Wed Apr 30 17:14:24 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWithTheSameData"
"Updates a user and verifies status code and response","9064","Update User's Sex, age is missed in userNewValues - API Test","","Wed Apr 30 17:13:12 UTC 2025","failed","Wed Apr 30 17:13:21 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateZipCode"
"Verifies status code and response","11636","Get available Zip codes - API Test","","Wed Apr 30 17:04:11 UTC 2025","passed","Wed Apr 30 17:04:23 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","getAvailableZipCodes"
"Deletes a user (Zip cod is missed) and verifies status code and response","9085","Delete User when Zip code is missed in request - API Test","","Wed Apr 30 17:16:13 UTC 2025","failed","Wed Apr 30 17:16:22 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingZipCode"
"","1","testGetZipCodesURL()","","Wed Apr 30 17:15:46 UTC 2025","passed","Wed Apr 30 17:15:46 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DataTest","com.coherentsolutions.java.restapi.testing.test.DataTest","testGetZipCodesURL"
"Gets created users and verifies status code and response","9076","Get Users - API Test","","Wed Apr 30 17:12:44 UTC 2025","failed","Wed Apr 30 17:12:53 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsers"
"Gets 400 status code and verifies response","9159","Try to send null inside an array - API Test","","Wed Apr 30 17:04:23 UTC 2025","failed","Wed Apr 30 17:04:32 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","sendNullToAddNewZipCode"
"Verifies status code and response","9108","Add new Zip codes - API Test","","Wed Apr 30 17:05:18 UTC 2025","passed","Wed Apr 30 17:05:27 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addNewZipCodes"
"Gets 409 status code and verifies initial user is not updated","9065","Try to update a user, when Sex is missed in userNewValues - API Test","","Wed Apr 30 17:19:23 UTC 2025","failed","Wed Apr 30 17:19:32 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateUserWhenSexIsMissed"
"Gets 400 status code and verifies the body","9070","Try to update a user, when all values are null in userToChange - API Test","","Wed Apr 30 17:13:30 UTC 2025","failed","Wed Apr 30 17:13:39 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenUsersToChangeValuesAreNull"
"Gets created users by Sex (upper case) and verifies status code and response","9132","Get Users by Sex - API Test","","Wed Apr 30 17:11:50 UTC 2025","failed","Wed Apr 30 17:11:59 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySexUpperCaseInParameter"
"Updates a user and verifies status code and response","9065","Update User, when changed fields order of userNewValues - API Test","","Wed Apr 30 17:14:51 UTC 2025","failed","Wed Apr 30 17:15:00 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenChangeTheFieldsOrderInNewValues"
"Creates a user and verifies the user is created when only required fields were sent","9091","Create User by sending only required fields in request - API Test","","Wed Apr 30 17:06:22 UTC 2025","failed","Wed Apr 30 17:06:31 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","createUserWhenSendOnlyRequiredFields"
"Verifies the status code and response when only Sex is sent","9107","Get 409 status code when send only Sex inside request - API Test","","Wed Apr 30 17:06:49 UTC 2025","failed","Wed Apr 30 17:06:58 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","com.coherentsolutions.java.restapi.testing.test.CreateUserTest","sendSexOnly"
"Verifies status code and response when try to get users by incorrect parameter","9111","Get 400 status code when try to get users by incorrect parameter - API Test","","Wed Apr 30 17:11:40 UTC 2025","failed","Wed Apr 30 17:11:50 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","com.coherentsolutions.java.restapi.testing.test.GetUsersTest","getUsersBySexNegativeCases"
"Gets 409 status code and verifies response","9089","Try to upload a user, when Name and Sex are missed - API Test","","Wed Apr 30 17:07:16 UTC 2025","failed","Wed Apr 30 17:07:26 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithoutNameAndSex"
"Gets 400 status code and verifies the body","9059","Try to update a user, when userToChange does not exist - API Test","","Wed Apr 30 17:19:51 UTC 2025","failed","Wed Apr 30 17:20:00 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPatchTest","updateNonExistingUser"
"Gets 409 status code and verifies response","9083","Try to upload a user with no Sex - API Test","","Wed Apr 30 17:09:15 UTC 2025","failed","Wed Apr 30 17:09:24 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","com.coherentsolutions.java.restapi.testing.test.UploadUsersTest","testUploadOneUserWithoutSex"
"Updates a user and verifies status code and response","9076","Update User, when userToChange goes first in the request body - API Test","","Wed Apr 30 17:13:21 UTC 2025","failed","Wed Apr 30 17:13:30 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","com.coherentsolutions.java.restapi.testing.test.UpdateUserByPutTest","updateUserWhenChangeUsersOrderInRequestBody"
"Verifies status code and response","9250","Add duplicated already used Zip codes - API Test","","Wed Apr 30 17:04:50 UTC 2025","passed","Wed Apr 30 17:05:00 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","com.coherentsolutions.java.restapi.testing.test.ZipCodeTest","addDuplicatedAlreadyUsedZipCodes"
"Verifies the status code and response when sends DELETE request with no Name","9070","Get 409 status code when try to delete user, Name is missed in request - API Test","","Wed Apr 30 17:16:49 UTC 2025","failed","Wed Apr 30 17:16:58 UTC 2025","","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","com.coherentsolutions.java.restapi.testing.test.DeleteUserTest","testDeleteUserWithMissingName"
